Genes,Olaparib,Veliparib,BMN673,Rucaparib,Cisplatin,Carboplatin,Mitomycin C,SN-38,Epirubicin,Etoposide,Doxorubicin,Camptothecin,Mitoxantrone,Docetaxel,Paclitaxel,Vinorelbine,Busulfan,Chlorambucil,Melphalan,Temozolomide,5-FU,Gemcitabine,6-Mercaptopurine,Methotrexate,Hydroxyurea,NU7441,KU55933,Bleomycin,Actinomycin D,Methotrexate 5-FU,Gemcitabine  Paclitaxel
ZNF738,-0.038954154,1.032415673,0.148697509,-0.30855721,0.002859054,-1.453074591,-0.188196453,-0.484696298,-0.530096095,1.33217304,-1.275802431,-0.335150978,-0.277240052,-0.601536722,-0.001928819,-1.992388295,0.690392238,-0.351674522,-0.390956488,0.139025839,-0.278700444,-0.999840898,-0.284465397,-0.358635748,-1.843307373,-0.566225583,-0.850902005,-0.055418135,1.880804165,-0.548407396,-0.687745396
ZNF675,2.248392379,0.706552663,0.932369581,1.230666784,0.725425935,-0.680115261,0.857532489,0.036379286,-2.262268505,0.348184298,0.089976067,-0.467347286,-0.850746437,0.744561204,-2.604119271,-0.270725303,1.277328062,-1.679494621,-0.655474452,0.561895745,0.241846009,0.102183834,-3.146152018,0.167962549,1.17352178,0.580571389,-0.736048966,0.045672269,-0.136719014,0.545480973,-4.358636045
ZNF608,1.024347258,0.092328572,-0.522667881,1.922585449,0.161378534,1.072858375,-0.573199723,-1.612009169,-0.160504654,0.101051028,-0.986535811,-0.138211577,0.156278925,0.019721221,0.171897911,-0.118291279,0.985687094,0.04678561,0.084711796,0.095664647,0.476604778,0.252435964,0.716973358,0.039987067,0.041517615,0.252539043,1.755724173,-0.627076329,-1.905991593,-1.879870609,0.238121879
ZNF516,-0.285904328,0.061300012,0.39519391,-0.187096236,0.500461709,0.026169053,-0.015666357,-0.108751922,-0.15756945,-0.011455488,-0.07506644,-0.100177608,-0.054110988,0.405588974,-0.229590352,-0.693185508,-0.218546847,0.032291793,0.009836681,0.056549542,-0.145150255,-0.009727342,0.055536243,-0.001202506,0.160068228,-0.070067808,0.153888688,-0.279734363,-0.124589072,-0.051743633,-0.271290755
ZNF486,1.252089211,0.010652946,-0.693804397,-0.029562922,-0.068876983,-0.738773376,-0.287216759,-0.317133743,0.365209224,0.866931548,-0.545591817,-0.772951743,-0.857840102,0.970737632,-2.296040935,-0.194690487,-1.372748761,-0.282577772,-0.532360662,0.414256013,-0.586853401,-0.161548419,2.584304759,-0.230041267,1.419524375,-1.453775975,3.063360451,-0.330615366,-0.106726512,0.361458702,-3.726701553
ZNF474,-0.240770283,-0.169370898,-0.060424209,-0.173392747,-0.068224745,-0.152249456,-0.361288493,-0.251890252,0.415939456,-0.034434853,-0.161228931,0.373299093,0.412191009,0.16979573,0.175150886,-0.1656649,-0.500773862,-0.122526064,-0.243800537,-0.225472961,-0.330905465,-0.15493561,-0.029758991,-0.050134131,-0.095474336,-0.037375916,-0.386234903,-0.186182319,-1.211665879,-0.611094358,0.652401027
ZNF431,-0.308942528,-1.085360716,1.235837757,0.525928102,1.209022663,0.056904032,-0.088323816,-0.03344225,0.002515685,-0.390895177,-0.011722853,-0.040878891,-0.193031583,0.106929334,0.378137007,0.083727977,-0.645417683,-0.293189583,-0.030991492,0.361115378,1.572414578,3.530163168,0.874642318,0.176742293,0.587482459,-0.991355774,0.649529426,3.062559415,0.099199646,3.615170292,-0.623052083
ZNF43,5.069842787,3.59751049,-2.64378103,2.859917646,-3.294200928,3.52404662,3.203989323,-0.231765214,-0.037648842,1.233900049,-2.480459191,0.424474339,-0.077144141,-0.866003069,-4.088238822,3.626896554,3.471688336,4.091092243,1.820208846,0.009442776,2.00588087,-0.988877963,2.801015119,1.134258152,0.14852034,6.321250309,3.398300896,2.105260839,5.294426479,1.511310764,-6.169403481
ZNF407,1.380197134,2.121664604,0.036770033,-0.306181101,-0.222558732,0.444204817,-0.223448148,0.011390275,0.127115212,0.017554323,0.002823726,0.205526619,-0.170315637,1.411108651,0.274211532,-1.799006142,-0.305048431,0.037311169,0.643592632,1.56587093,-0.079122845,0.09347179,2.56197671,0.057921145,-1.309212275,0.064896862,0.133422633,0.014603453,-0.535072007,0.077591918,1.430065197
ZNF395,0.171871001,0.105052199,0.256412804,0.388816825,0.348450243,5.540170548,0.415292306,0.100770715,-0.713500147,0.013926718,-0.436611203,-0.151727146,-1.130989416,-0.501973958,-0.053470607,-4.11021072,0.024551001,2.734962103,0.595099837,1.388227825,0.299016262,0.667573301,-1.14615237,0.073184301,-0.43410344,3.835601192,3.957071428,0.074284524,0.224819744,-0.258739539,0.915544328
ZNF259,0.213811506,-0.369165986,0.069698334,0.186058824,0.120313187,3.311492468,-0.532086275,0.181198205,2.459902997,0.130814479,0.237061715,0.175455813,0.240936502,0.043837884,0.119680477,1.120138161,0.072342484,1.575884078,0.856111537,-0.410802944,-0.528760409,0.207968385,0.275813209,0.012259558,0.983679736,0.663483867,-0.039536506,0.051170983,0.322771277,2.039386036,2.346373717
ZNF236,-0.033985167,0.693603795,0.336910108,0.305545136,0.341072378,-0.426117683,0.159503267,0.108014446,-1.326251009,0.041370754,-0.014246828,-0.529487268,-1.32337326,-0.410423715,-2.033312586,0.694240556,0.822037333,-1.193835114,-0.388920655,-0.214224182,-0.46021903,0.008765106,-1.827297241,-0.480432574,0.670289763,-1.876707823,0.335331436,0.092370541,-0.076688159,-4.45364277,-2.819162976
ZNF182,0.812570539,0.446335735,1.515323775,0.159921437,0.102806227,1.239934713,1.806407697,1.938517729,0.037251751,-0.582723774,1.61927636,1.011007061,0.57839786,1.378699432,3.161536924,1.035448376,1.147419598,0.921242397,0.89771199,1.077075228,-0.734433964,0.486947539,0.190975965,1.26097965,0.204239097,1.298213106,0.841304527,1.679663814,1.742225972,4.181842526,2.448048712
ZNF12,0.491814074,-0.810258236,0.37000798,0.374556355,0.436769642,0.641763098,0.398369543,-0.288173473,-0.080133169,-0.282213405,-0.168552995,-0.041041285,-0.426612443,-0.316525919,-1.517143142,-5.028095542,0.39054206,1.485645991,-0.28643787,0.640543791,-0.34000856,-0.283538792,1.442501074,-0.327884488,1.272470429,-0.05256892,1.808607574,-0.266165304,0.482764743,0.234827808,-4.848051742
ZNF100,-1.163434947,-0.407670329,-1.488214743,0.025525815,-0.800936267,-0.354423651,0.273646633,0.030683185,-0.125521109,0.0286884,0.043411105,-0.335124695,-0.117917311,-3.400910554,-0.892589042,-0.425837814,-0.447702936,-0.55138625,-0.115899623,-0.390278241,0.372311792,-3.934773668,0.253305108,1.655438096,0.028371455,0.501429683,1.100899921,-2.431733081,0.221993201,2.60591946,-3.904897048
