Gene,ABT199,Quizartinib,JQ1,Vorinostat,Selinexor,Cytarabine,Mitoxantrone,Decitabine,Azacitidine
A1CF,-0.362052949,-0.101719275,0.002073175,0.068603622,-0.323392685,-0.303332395,-0.065007704,0.583831361,-0.069699796
AAK1,0.157118263,0.106222809,-0.100399406,0.06638571,0.045780125,0.152170081,-0.035455557,-0.09447225,0.089522268
AANAT,0.008284766,-0.329332623,-0.902682801,0.215932255,0.221058962,0.307723609,-0.398289003,-0.916569741,-0.89908883
AATK,0.166603191,1.223818472,-0.802754238,-0.107890727,0.300788965,0.659006467,-0.434693396,-0.670335215,0.041898614
ABAT,-0.125869973,-0.065756539,-0.583307938,0.277204191,0.287627771,0.401358076,-0.298981058,-0.797763076,-0.774973904
ABCB1,-0.02295273,-0.071629334,0.005668091,0.356600399,0.03786565,0.064393485,0.484109694,-0.00900406,-0.192993342
ABCC1,-1.60498432,-0.029254383,0.746018034,0.200447182,0.456238195,0.177922432,-1.359933955,-0.255790638,-0.052600109
ABCC2,0.087819941,0.088581997,0.693158748,-0.090022731,-0.444717966,-0.4361572,-0.061591202,0.215630808,0.381240018
ABCG2,-0.226032191,-0.15998012,0.122139099,-0.184230206,-0.182998302,-0.038294675,0.211328428,0.150302952,0.218149259
ABL1,0.07972896,0.035576878,-0.238575484,-0.121723611,-0.142948723,0.059955625,0.083935188,-0.05606287,-0.052145241
ABL2,0.145877491,0.06590737,0.340410736,0.047480055,0.024148315,-0.061804548,0.174184599,0.205650741,0.346465218
ACACA,-1.178935874,-0.249776359,-0.442994347,0.067357972,0.013665067,-0.251590839,-1.023830434,-0.934360873,-0.788002615
ACAT1,0.039059462,0.227360451,0.300783335,-0.085345024,0.26086865,0.092925343,0.063274589,0.388524443,0.148460261
ACE,0.198696887,0.218721283,-0.285392498,-0.029021521,-0.105648344,-0.041115549,0.260091066,0.755485523,0.39639096
ACHE,-0.028545388,0.11567104,-0.508344374,0.017380408,0.197400861,0.131246819,-0.072500175,-0.156453934,-0.097343869
ACLY,-0.156556076,0.172344975,0.206632389,0.231849427,-0.336910994,0.175314327,0.09875376,-0.057523989,0.011701584
ACTA2,-0.018657811,-0.087481831,-0.131873509,0.08711353,-0.145066641,-0.005852219,0.103065618,0.073107265,0.009895175
ACTB,-0.008008197,0.410519429,0.061149263,0.477369303,-0.401971207,0.372356952,-0.591430628,-0.064676372,0.316254554
ACTL6A,-1.200050984,0.158078093,0.444169641,0.164324293,-0.337120142,0.647390174,0.029778965,0.459606829,0.597089295
ACTL6B,0.160433844,-0.018494881,0.006543793,0.325751355,0.657644761,0.401603492,-0.118538538,-0.376882435,-0.524324577
ACTR5,-0.684032261,0.304334778,-0.445832986,-0.087622876,-0.816916069,-0.387208529,-0.067144787,-0.096644318,0.395865124
ACTR6,0.152734393,-0.046732038,0.309717868,-0.163655543,-0.027733695,-0.019434826,0.122065455,0.186560347,0.355365045
ACTR8,0.025330015,-0.182317163,-0.75808459,0.314250457,-0.611877266,0.006640789,-0.382408169,-0.572206782,-0.023989923
ACVR1,-0.534435543,0.0463839,0.64766897,-0.135984573,0.101105924,-0.095178335,0.19887234,0.495984938,0.622541304
ACVR1B,-0.01121006,0.037442602,0.295101513,0.16448789,0.465668184,-0.048319576,0.071715373,-0.081248427,-0.06514098
ACVR1C,-0.016921135,0.27075606,-0.420541959,0.006924729,0.67697219,-0.077251641,0.296662624,0.023257674,0.114081181
ACVR2A,-0.358025642,-0.27686423,-0.008561291,0.019017528,0.469850289,0.022159413,-0.008027467,-0.314184629,-0.288972482
ACVR2B,-0.040076003,-0.186322426,-0.183688324,-0.313875721,-0.350406718,-0.537870216,-0.371065052,-0.491526883,0.178135025
ACVRL1,-0.251020725,0.052518179,0.109688061,-0.097102613,0.272165267,-0.112582508,0.21724338,0.245889044,0.384709947
ADA,0.217050246,0.048204002,0.223050146,-0.045421518,-0.161591913,0.086789929,0.193604962,0.074216045,0.153257885
ADCK1,0.255763848,-0.097475358,-0.651164811,0.075604846,0.011915709,0.157221952,0.029711004,-0.296358657,-0.328811409
ADCK2,0.322036089,-0.103564477,-0.547105643,0.256857299,0.359288084,0.286226737,-0.136900641,-0.278637846,-0.628197226
ADCK3,0.326690157,0.197600861,0.332402866,0.107358612,0.139413897,0.280944308,-0.00709948,-0.110442794,-0.131340305
ADCK4,-0.341020378,-0.176702905,-0.330473722,-0.080221254,-0.018491344,-0.249516732,0.098838667,0.242597436,-0.123296987
ADCK5,0.13730116,-0.159533825,-0.402316224,0.2162218,0.181773937,0.07859435,-0.26470209,-0.371857629,-0.422852854
ADH1A,0.058361156,-0.126335711,0.364158693,-0.12016174,0.111247264,-0.310144229,0.051110898,0.236313755,0.471099451
ADH1B,0.084519553,0.027102713,0.058643931,0.070938821,0.027067468,0.181452067,-0.091697729,0.01887357,0.155137571
ADK,-0.615241605,0.138922364,1.068789096,0.057531575,0.444973235,-0.124252772,0.025122207,0.520854491,0.632408608
ADORA1,-0.204713513,-0.272713739,-0.067899731,0.363804194,0.045580565,-0.023650421,-0.3084669,-0.220676254,0.130265796
ADORA2A,-0.369842795,-0.081316049,0.064293203,0.013030994,-0.209229079,-0.052279375,0.06755898,0.193802324,0.183117685
ADORA2B,-0.028738883,0.044295135,-0.041703712,0.050722234,-0.101165952,0.125194989,-0.11852836,0.191589017,0.01624304
ADPGK,-0.145664104,0.137666263,0.158309176,-0.099777899,-0.326988177,-0.054224619,0.126382334,-0.028298726,0.10190682
ADRA1A,0.153037652,-0.119570487,0.193478359,0.042738271,-0.370871508,0.105692959,0.240708341,0.208055498,0.186095016
ADRA1B,0.021338041,-0.050220221,-0.303640829,0.23409118,-0.038479759,0.241375251,-0.106050594,-0.535687183,-0.486483818
ADRA1D,-0.142281577,0.099048178,-0.129547626,0.263869159,-0.178095771,0.136906514,0.095037543,-0.052009789,0.047752097
ADRA2A,0.158991527,-0.112110367,-0.813931039,0.221643693,0.033207579,0.284889947,-0.398217611,-0.823690978,-0.840356319
ADRA2B,-0.037470282,-0.149863286,-0.462410696,0.08409866,-0.079743224,0.116438755,-0.001371545,-0.316003157,-0.274314457
ADRA2C,0.110201765,-0.038826144,-0.786351649,0.369092501,0.293801266,0.352525006,-0.239611838,-0.470155953,-0.696917653
ADRB1,0.187790712,-0.044662628,-0.131396694,-0.000670637,-0.013294563,-0.144678852,-0.041826259,-0.035543336,-0.159060101
ADRB2,0.915311548,0.111794974,0.478541316,-0.15042339,0.060469379,-0.128570281,0.226394003,0.506184045,0.3795115
ADRBK1,-0.013156244,0.05447997,-0.286371785,-0.186280447,-0.110690477,-0.038480824,-0.065142846,-0.05716141,-0.566121626
ADRBK2,0.145365948,-0.147099377,-0.359779293,0.09024485,-0.124341595,0.285679212,-0.306809236,-0.449718655,-0.078008084
ADSS,-0.928252953,-0.521945697,1.134596421,-0.481920245,0.668290811,1.845257956,-0.879596412,0.491185204,-0.487433216
AEBP1,0.197751946,0.025838453,-0.308500388,0.258063388,0.259152964,0.427232919,-0.141986893,-0.306454133,-0.515107936
AGK,-0.378232384,0.024908661,0.078237626,-0.022183752,-0.124815593,0.025512777,-0.035971214,-0.04770868,0.12468286
AGTR1,0.220777973,-0.010349777,-0.264158324,0.178549096,-0.071301881,0.13592184,-0.008306056,-0.22384457,-0.180489436
AHCTF1,-0.789783718,-0.058476842,0.955228602,-0.386449652,-0.407582981,-0.329392879,0.575106585,0.622107554,0.681317576
AIRE,0.059501285,0.006083977,0.23895147,0.229661798,0.001990799,0.05367993,-0.028257953,-0.358444729,-0.237778127
AJUBA,-0.124970036,-0.07124545,0.883684099,0.251619403,0.002106725,0.046545232,0.074600229,0.170000603,0.28624388
AK1,0.194099481,-0.093789913,-0.39247743,0.043858593,0.220142868,0.008243901,0.055182703,-0.096681983,-0.208588331
AK2,-0.233453314,0.030384633,0.406865611,0.392195617,0.394747069,0.060423443,0.138189857,0.001326873,0.158443046
AK3,0.573885993,-0.121536873,-0.009582784,0.20074699,-0.103881479,0.00993163,0.23007932,-0.086586364,-0.221305597
AK4,-0.339705118,0.199034776,0.580451046,-0.067610678,-0.240108632,-0.229027091,0.330465014,0.59339872,0.300563153
